formula,intensity,m/z
C10H21N1O7,3390170,266.12453
C11H8O8,4660216,267.01463
C12H12O7,8990723,267.05104
C9H16O9,15808522,267.07213
C13H16O6,7354383,267.08744
C14H20O5,8783898,267.12382
C15H24O4,14374950,267.1602
C16H28O3,8624178,267.19661
C17H32O2,12806205,267.23298
C11H10O8,6675067,269.03029
C15H10O5,3266175,269.04559
C12H14O7,7563910,269.06668
C9H18O9,20417164,269.08779
C13H18O6,10433169,269.10307
C14H22O5,25991838,269.13947
C15H26O4,8870569,269.17585
C16H30O3,17955508,269.21224
C17H34O2,12475072,269.24863
C11H13N1O7,13958082,270.06191
C11H12O8,6894841,271.04592
C12H8N4O4,11721977,271.04738
C15H12O5,13180157,271.06121
C12H16O7,5275908,271.08229
C9H20O9,33676556,271.10348
C13H20O6,9239823,271.1187
C14H24O5,36134172,271.15508
C15H28O4,17304870,271.19147
C16H32O3,17313074,271.22785
C11H15N1O7,10389053,272.07755
C10H10O9,2998118,273.02523
C14H10O6,9541483,273.04047
C11H14O8,3414897,273.06159
C15H14O5,7075702,273.07686
C12H18O7,5666685,273.09799
C15H18N2O3,2282373,273.12446
C13H22O6,15146888,273.13437
C14H26O5,45006740,273.17074
C15H30O4,10604447,273.20713
C8H9N3O8,2944160,274.03182
C11H17N1O7,2291891,274.09322
C13H8O7,44876244,275.0197
C14H12O6,40575452,275.05609
C15H16O5,4627945,275.09247
C12H20O7,6482416,275.11366
C11H20N2O6,3732979,275.12485
C13H24O6,14471675,275.15004
C14H28O5,11846150,275.18642
C11H19N1O7,2428707,276.10887
C13H10O7,10650688,277.03534
C14H14O6,22971466,277.07174
C11H18O8,2371665,277.09291
C15H18O5,3724374,277.10812
C12H22O7,7378013,277.12931
C16H22O4,5399649,277.14453
C13H26O6,3155048,277.16568
C18H30O2,10814583,277.21731
C10H17N1O8,2267009,278.08815
C11H21N1O7,2332556,278.12452
C12H8O8,10903195,279.01463
C13H12O7,34424484,279.051
C10H16O9,4128428,279.07221
C14H16O6,8681137,279.0874
C15H20O5,7491260,279.12378
C16H24O4,4420295,279.16018
C18H32O2,24635100,279.23299
C10H19N1O8,2717668,280.10378
C12H10O8,7854330,281.03026
C13H14O7,12175621,281.06665
C10H18O9,10447115,281.08783
C14H18O6,5619984,281.10304
C15H22O5,9885979,281.13946
C16H26O4,7481638,281.17585
C17H30O3,2369328,281.21224
C18H34O2,29919548,281.24864
C12H12O8,7146322,283.04593
C9H16O10,4038488,283.06709
C13H16O7,7648092,283.08234
C14H20O6,14814055,283.11874
C15H24O5,21629810,283.15513
C16H28O4,14015356,283.19151
C17H32O3,4432775,283.22789
C18H36O2,32017298,283.26423
C9H19N1O9,3046535,284.09867
C11H10O9,3262870,285.02519
C15H10O6,17161626,285.04045
C12H14O8,5572001,285.06161
C13H18O7,6333867,285.09801
C14H22O6,38464948,285.13439
C15H26O5,12312000,285.17075
C16H30O4,29404618,285.20711
C17H34O3,3426774,285.24349
C11H13N1O8,32050882,286.05682
C9H21N1O9,3431122,286.11435
C13H21N1O6,2618070,286.12963
C14H8O7,2866135,287.01972
C11H12O9,6256605,287.0409
C15H12O6,35893216,287.05609
C12H16O8,3475431,287.07726
C13H20O7,6057970,287.11365
C14H24O6,27430908,287.14999
C15H28O5,17477638,287.18638
C16H32O4,28733456,287.22278
C14H7N7O1,2685185,288.06391
C11H15N1O8,3316995,288.07248
C10H15N3O7,2248454,288.08377
C12H19N1O7,2990350,288.10888
C10H19N5O5,2891028,288.13139
C14H10O7,11977236,289.03535
C11H14O9,3176986,289.05657
C15H14O6,775901696,289.07176
C12H18O8,3486244,289.09287
C13H22O7,12948014,289.12925
C14H26O6,17744440,289.16565
C18H26O3,6906429,289.18092
C11H17N1O8,4141884,290.08815
C12H21N1O7,5356358,290.12456
C13H8O8,17327166,291.01462
C14H12O7,24400968,291.05101
C11H16O9,2335822,291.0722
C15H16O6,57562192,291.08743
C12H20O8,2883672,291.1085
C16H20O5,3630172,291.12382
C13H24O7,6986850,291.1449
C17H24O4,2272870,291.1602
C14H28O6,4610156,291.18131
C18H28O3,17294448,291.19654
C11H19N1O8,2709867,292.10376
C12H23N1O7,5834101,292.14018
C13H10O8,10200680,293.03028
C10H14O10,12764782,293.05145
C14H14O7,61068916,293.06666
C15H18O6,11814524,293.10308
C16H22O5,5578375,293.13947
C13H26O7,4392588,293.16056
C18H30O3,104650392,293.21219
C10H17N1O9,5092231,294.08305
C12H25N1O7,2666395,294.15585
C12H8O9,4788353,295.00957
C13H12O8,33921164,295.04593
C10H16O10,5652624,295.06711
C14H16O7,69212312,295.08231
C15H20O6,13113502,295.11873
C16H24O5,9259176,295.15513
C17H28O4,5168306,295.19148
C18H32O3,70654136,295.22784
C12H10O9,5569178,297.02524
C16H10O6,2296990,297.04043
C13H14O8,18127524,297.06162
C10H18O10,8284841,297.08272
C14H18O7,28367534,297.09796
C15H22O6,15325879,297.13435
C16H26O5,12729024,297.17078
C17H30O4,5780170,297.20716
C18H34O3,243292880,297.2435
C12H13N1O8,4543402,298.05683
C14H21N1O6,2450365,298.12967
C12H12O9,5799083,299.04082
C11H12N2O8,2615470,299.052
C16H12O6,2763951,299.05614
C13H16O8,8508597,299.07724
C10H20O10,13933754,299.09837
C14H20O7,32570558,299.11366
C15H24O6,15375559,299.15001
C16H28O5,17710288,299.18638
C17H32O4,13778138,299.22282
C18H36O3,213474528,299.25921
C14H23N1O6,2518474,300.14532
C14H6O8,2593445,300.99904
C15H10O7,35331760,301.03536
C12H14O9,4468404,301.05656
C16H14O6,5127864,301.07177
C13H18O8,5059262,301.0929
C14H22O7,14634695,301.12925
C15H26O6,23805648,301.16568
C16H30O5,14675673,301.20208
C17H34O4,18026210,301.23842
C11H13N1O9,3581874,302.05179
C11H4N4O7,3518627,303.00065
C14H8O8,3036327,303.01464
C11H12O10,4407468,303.03586
C15H12O7,106356912,303.05101
C12H16O9,3616949,303.07216
C16H16O6,5036217,303.08745
C13H20O8,3824830,303.1085
C17H20O5,2313410,303.12381
C14H24O7,10604743,303.14494
C18H24O4,2368203,303.16016
C15H28O6,11841745,303.18135
C16H32O5,9449690,303.21767
C20H32O2,2682078,303.23301
C14H7N7O2,5894574,304.05889
C14H10O8,14308000,305.03027
C15H14O7,2636342016,305.06666
C12H18O9,2795183,305.08783
C16H18O6,3881651,305.10314
C13H22O8,3679928,305.12416
C17H22O5,2570428,305.13947
C14H26O7,5663425,305.1606
C18H26O4,16347845,305.17581
C12H21N1O8,4182959,306.11942
C13H8O9,5346442,307.00956
C14H12O8,30049428,307.04597
C15H16O7,43426972,307.0823
C16H20O6,6558885,307.11873
C13H24O8,2968746,307.13985
C17H24O5,6685870,307.15513
C18H28O4,72836280,307.19145
C10H15N1O10,6002060,308.06227
C14H15N1O7,2493328,308.0776
C11H19N1O9,6260117,308.0987
C12H23N1O8,4093342,308.13513
C13H10O9,10557046,309.02519
C10H14O11,8093307,309.04637
C14H14O8,33777280,309.06158
C11H18O10,9188996,309.08271
C15H18O7,10315400,309.09801
C12H22O9,2747021,309.11908
C16H22O6,8777360,309.13436
C17H26O5,10487449,309.17079
C18H30O4,281110176,309.20717
C11H21N1O9,7847805,310.11435
C12H25N1O8,4216710,310.15076
C13H12O9,16382043,311.04083
C17H12O6,2735199,311.05612
C14H16O8,38774884,311.07727
C18H16O5,4120680,311.09245
C11H20O10,11712617,311.09834
C15H20O7,9377900,311.11363
C16H24O6,24381558,311.15
C17H28O5,73476224,311.18644
C18H32O4,236021888,311.22278
C13H15N1O8,2388817,312.07254
C12H10O10,3447345,313.02014
C13H14O9,10201658,313.05648
C17H14O6,3337790,313.07176
C14H18O8,46574148,313.09293
C11H22O10,4956744,313.114
C15H22O7,11348555,313.12929
C16H26O6,16464468,313.16563
C17H30O5,7393885,313.20209
