,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
4604,4294,247.03454813551488,247.0353428022857,,7563988.613437196,625789.199939416,15.07045747516221,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4605,4296,247.0216523729197,247.02244700095392,,11293850.406661456,625821.449828493,22.501817623320264,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4606,4297,247.01641541147623,247.0172100237795,,10035008.5366027,625834.6997726696,19.993706646398355,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4607,4298,247.00577937071907,247.00657395107348,,5709493.303571692,625861.6999288744,11.375569217984388,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4608,4300,246.5284088958798,246.5292020422497,,2073205.2744748965,627073.9498013543,4.130645023810802,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4609,4302,246.10878129197246,246.10957317774208,,6461759.917019279,628143.1997004021,12.874381893059851,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4610,4303,246.07237285797237,246.07316463436453,,3793577.0810978883,628235.6999300583,7.558306206050239,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4611,4305,246.0449540679297,246.0457457619506,,3371779.0743966815,628305.6999891653,6.717917722148207,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4612,4306,246.02677798879682,246.02756962821317,,8975314.078925524,628352.1996116604,17.882376093531235,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4613,4307,246.01618933626273,246.0169809438686,,5184496.955480639,628379.199980751,10.329568814907848,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4614,4308,246.0085205585537,246.00931214312095,,6945313.548934399,628399.1999620012,13.837812011633966,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4615,4309,245.99803348847084,245.9988250415327,,4670404.271095307,628425.9498972176,9.305292823196577,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4616,4310,245.5205755206586,245.52136563929184,,2016428.8266261437,629647.6999734592,4.0175238801095325,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4617,4317,245.04261964424552,245.04340832686822,,18717904.930847302,841167.9329211281,37.29347103766703,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4618,4318,245.03713385218438,245.03792251832462,,5323018.731362586,630889.950155865,10.605558988809523,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4619,4320,245.02652286970934,245.02731150396806,,2288290.05063536,630917.1997547217,4.559178981004068,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4620,4321,245.02395036883536,245.0247389953648,,4853657.4067727225,630924.1997033312,9.670405560610082,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4621,4322,245.01895783995005,245.01974645147902,,9832582.867947968,630936.7000188923,19.59039463903718,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4622,4324,245.00595225658338,245.006740829036,,3135706.485073465,630970.1997444759,6.247567738790646,-1,,,,,,,,unassigned,,,,,,,,,,,,,
