formula,intensity,m/z
C13H12O9,4619768,311.04081
C17H12O6,5657082,311.05613
C14H16O8,12612093,311.07726
C18H16O5,1589760,311.09248
C11H20O10,3092993,311.09832
C15H20O7,4668931,311.11361
C16H24O6,13140488,311.15
C17H28O5,11026958,311.18643
C18H32O4,55591444,311.22279
C13H14O9,8276778,313.05649
C17H14O6,1623341,313.07179
C14H18O8,28517168,313.09292
C15H22O7,9564981,313.12929
C16H26O6,4499259,313.16564
C10H26N4O7,1186620,313.17289
C17H30O5,1493824,313.20209
C18H34O4,43402052,313.23843
C14H21N1O7,1650122,314.12453
C15H8O8,2290254,315.01471
C12H12O10,973649,315.03572
C16H12O7,4434004,315.05102
C13H16O9,2664535,315.07217
C17H16O6,2781273,315.08742
C14H20O8,6605916,315.10854
C18H20O5,3268702,315.1238
C15H24O7,2843746,315.14495
C16H28O6,6716519,315.18131
C17H32O5,1410668,315.21767
C18H36O4,11043954,315.25412
C16H31N1O5,847358,316.21286
C15H10O8,110314872,317.03028
C16H14O7,9184634,317.06668
C13H18O9,1505662,317.08779
C17H18O6,2292608,317.10305
C14H22O8,1256579,317.1242
C18H22O5,2270085,317.13942
C15H26O7,2208136,317.1606
C16H30O6,1504141,317.19696
C17H34O5,1036435,317.23341
C15H12O8,39274136,319.04593
C16H16O7,8877724,319.08234
C17H20O6,54167200,319.11873
C14H24O8,1095844,319.13987
C18H24O5,1379494,319.15508
C14H7N7O3,849446,320.05379
C14H10O9,7169966,321.0252
C15H14O8,47876020,321.06162
C16H18O7,19867576,321.09796
C17H22O6,1969597,321.13438
C14H26O8,1036480,321.15546
C18H26O5,3302339,321.17076
C10H13N1O11,989244,322.04151
C16H21N1O6,1979464,322.12957
C13H8O10,1086145,323.00446
C14H12O9,4815046,323.04085
C18H12O6,1196232,323.05613
C11H16O11,1129417,323.06206
C15H16O8,4372683,323.07724
C12H20O10,1118926,323.09838
C16H20O7,2835664,323.11361
C17H24O6,4224213,323.15005
C18H28O5,15423706,323.18639
C19H32O4,1067743,323.22281
C13H10O10,1661908,325.02011
C14H14O9,5212633,325.0565
C11H18O11,2230236,325.07762
C15H18O8,3664350,325.09289
C16H22O7,4720099,325.12927
C17H26O6,7442920,325.16569
C18H30O5,51464684,325.20205
C13H13N1O9,7590496,326.05182
C15H21N1O7,883049,326.12467
C13H12O10,1582820,327.03575
C17H12O7,1316582,327.05106
C14H16O9,2634473,327.07222
C18H16O6,10521322,327.08743
C11H20O11,1307371,327.09337
C15H20O8,5526254,327.10854
C16H24O7,5720818,327.14497
C9H24N6O7,1846005,327.16353
C17H28O6,3619575,327.18132
C11H28N4O7,1242872,327.18858
C18H32O5,114641656,327.2177
C19H36O4,2027777,327.25413
C13H15N1O9,1710445,328.06746
