m/z,intensity,formula
775.2090505850024,3996988.6718895584,C36H40O19
773.338584667076,3185097.73439382,C40H54O15
773.3022300589355,5478096.736683379,C39H50O16
773.2660386266863,7789132.886331146,C38H46O17
773.229838600348,6403518.790611647,C37H42O18
773.1935818246136,4098971.565009736,C36H38O19
771.2873861636265,6250821.96766703,C39H48O16
771.2509231517818,5839369.392843924,C38H44O17
771.2144171687626,5414949.759196172,C37H40O18
771.1781463480486,3492025.406402461,C36H36O19
769.3075831190489,5065352.690724312,C40H50O15
769.2710509963177,7006902.525364254,C39H46O16
769.2347317323109,6109678.396927722,C38H42O17
769.1981643494283,5366228.480835895,C37H38O18
769.1618937841283,4244003.172437076,C36H34O19
769.1255667673158,3577668.232637227,C35H30O20
767.292051232856,4707829.587340513,C40H48O15
767.2772095273637,3053201.8039183263,C36H48O18
767.2559383880356,5356848.43901452,C39H44O16
767.2195878594085,4445366.524089086,C38H40O17
767.1468556611167,3989266.528911873,C36H32O19
765.2974719394333,3815637.5200011935,C37H50O17
765.2768180770613,4154768.9101781906,C40H46O15
765.2608915764113,3679152.510851396,C36H46O18
765.2398266164797,4494718.553214831,C39H42O16
765.2245987442464,3497657.3766968595,C35H42O19
765.1668153208539,4243768.370964455,C37H34O18
765.1305398242971,3448475.985247934,C36H30O19
763.3181387148098,3580724.8302183268,C38H52O16
763.281796345311,5865918.809052706,C37H48O17
763.2454807084601,6333283.13096134,C36H44O18
763.2244651535075,3637897.603883914,C39H40O16
763.20918715146,4429443.10231098,C35H40O19
761.3391281837492,3426225.714714235,C39H54O15
761.3029080751935,5027155.564743905,C38H50O16
761.2302217655316,5959567.09855509,C36H42O18
761.1937353075567,3671934.06906737,C35H38O19
759.2865963918621,8063641.5161335245,C38H48O16
759.2140424651765,5956069.3396918,C36H40O18
759.1416004234308,3093680.328031118,C34H32O20
757.2715628891598,6975133.843019283,C38H46O16
757.2352845104176,5737790.783090361,C37H42O17
757.198669445173,4982842.052300621,C36H38O18
757.1624333617361,3611448.2875657636,C35H34O19
757.1255621725887,3532032.433930021,C34H30O20
755.29163191584,6511292.1695454195,C39H48O15
755.2189664036653,6291313.701039852,C37H40O17
755.1828796876301,5934629.195079192,C36H36O18
755.1466077166788,4843735.129691218,C35H32O19
753.2767361696121,5296567.476858334,C39H46O15
753.2403143277927,4974576.316150608,C38H42O16
753.2038085372287,4773569.767038272,C37H38O17
753.1668964345279,3914677.6921813325,C36H34O18
753.1307779435502,3283742.879509002,C35H30O19
751.2816632562583,4473114.523903381,C36H48O17
751.2606410275553,4214322.375624305,C39H44O15
751.2455399715236,5334574.432064367,C35H44O18
751.2243567908416,3720034.5874349545,C38H40O16
