,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
4253,3792,266.02437431800433,266.02505675798204,,11444581.81172208,6079.027929978234,581117.9497104897,10.682459887484221,-1,,,,,,,,unassigned,,,,,,,,,,,,
4254,3793,266.01387306199166,266.0145554820956,,5425035.766383007,2653.425707515769,581140.9501308702,5.063769731035151,-1,,,,,,,,unassigned,,,,,,,,,,,,
4255,3794,266.0060766399873,266.0067590453358,,3831750.46116797,2105.4325902572473,581157.9497913929,3.5765850839871662,-1,,,,,,,,unassigned,,,,,,,,,,,,
4256,3795,265.6872823981362,265.68796419966947,,3460267.1049865484,1583.866417145507,581854.9498755488,3.2298396880818765,-1,,,,,,,,unassigned,,,,,,,,,,,,
4257,3796,265.53649749751685,265.53717901313684,,3511686.445172991,1735.7907289044838,582185.6999339382,3.277834892102348,-1,,,,,,,,unassigned,,,,,,,,,,,,
4258,3798,265.14619438789384,265.1468751624866,,5766356.9429676,1856.3490518936824,583042.6999099808,5.382361518624915,-1,,,,,,,,unassigned,,,,,,,,,,,,
4259,3800,265.13170012555435,265.132380872602,,14217770.46030728,7180.091432250794,583074.1999715378,13.270975307820088,-1,,,,,,,,unassigned,,,,,,,,,,,,
4260,3801,265.125754894738,265.1264356304868,,5219917.171971906,2525.8380634737796,466469.95984373713,4.87231047170866,-1,,,,,,,,unassigned,,,,,,,,,,,,
4261,3804,265.0997103748895,265.10039106113686,,3745396.3436984434,2089.517913981673,583144.9498139219,3.4959814925966555,-1,,,,,,,,unassigned,,,,,,,,,,,,
4262,3806,265.0894032913304,265.090083957986,,5501520.393157441,2814.813836539675,583167.1997163655,5.135161064590934,-1,,,,,,,,unassigned,,,,,,,,,,,,
4263,3807,265.0842805651475,265.0849612220653,,13116689.043801064,6404.6209626717355,583178.4497248267,12.24321752180518,-1,,,,,,,,unassigned,,,,,,,,,,,,
4264,3810,265.05303643630657,265.05371703382804,,8850960.723901168,4291.369773005838,583247.1999885326,8.26155419693273,-1,,,,,,,,unassigned,,,,,,,,,,,,
4265,3811,265.0478699414427,265.0485505291416,,5739972.473352764,3045.3210641813002,583258.9498338617,5.357734053598246,-1,,,,,,,,unassigned,,,,,,,,,,,,
4266,3812,265.034561546907,265.0352421093028,,44140796.18176498,21640.67161965457,583287.9496501305,41.201355573373206,-1,,,,,,,,unassigned,,,,,,,,,,,,
4267,3813,265.01664400881367,265.01732453714055,,11239796.384076336,5655.178355605379,583327.6996554508,10.491311608555733,-1,,,,,,,,unassigned,,,,,,,,,,,,
4268,3815,264.52846501113123,264.52914461011227,,3666383.8257787125,1850.7763986738537,584404.1999864611,3.4222306061796313,-1,,,,,,,,unassigned,,,,,,,,,,,,
4269,3816,264.35054145974993,264.35122071948626,,3941155.991626949,1860.6839171818053,584797.1997830932,3.6787050399474546,-1,,,,,,,,unassigned,,,,,,,,,,,,
4270,3817,264.11771891757536,264.1183977329626,,5063933.305726201,2415.9095436557336,585312.7000073099,4.726713942130118,-1,,,,,,,,unassigned,,,,,,,,,,,,
4271,3819,264.0997820346748,264.10046081580873,,5815588.80655761,3085.7593882883484,585352.4500975618,5.42831491531851,-1,,,,,,,,unassigned,,,,,,,,,,,,
4272,3821,264.0921007255979,264.09277949206233,,4648770.636644452,2465.42634134088,468295.75989638607,4.339197942663525,-1,,,,,,,,unassigned,,,,,,,,,,,,
4273,3822,264.08132330072056,264.08200204660164,,4062721.3264596877,1852.9457469972585,585393.6995360829,3.7921750499856732,-1,,,,,,,,unassigned,,,,,,,,,,,,
4274,3824,264.0634144021836,264.06409311385903,,7942744.242412915,4317.730882005657,468346.5598554832,7.413818011175984,-1,,,,,,,,unassigned,,,,,,,,,,,,
4275,3825,264.0588615577543,264.0595402607334,,3584774.934578429,1943.1354647774774,585443.199958957,3.3460562451543843,-1,,,,,,,,unassigned,,,,,,,,,,,,
4276,3827,264.0449483098103,264.04562698621277,,11704046.605419602,5268.185749443027,585473.949928865,10.924646303422044,-1,,,,,,,,unassigned,,,,,,,,,,,,
4277,3828,264.0374978811847,264.03817654335495,,4057028.893921767,2142.614391782306,468392.5599522135,3.786861690070131,-1,,,,,,,,unassigned,,,,,,,,,,,,
4278,3829,264.02700021990364,264.02767886201974,,16071550.975700922,8109.384002086036,585514.200036182,15.001308169402614,-1,,,,,,,,unassigned,,,,,,,,,,,,
4279,3830,264.00858637624293,264.0092649831799,,8524237.45662601,4167.632750833982,585554.9497368762,7.956588209149775,-1,,,,,,,,unassigned,,,,,,,,,,,,
4280,3831,263.6910783540806,263.69175635394856,,4009054.91349354,2068.05028205633,586259.7000879081,3.7420824111066495,-1,,,,,,,,unassigned,,,,,,,,,,,,
4281,3832,263.67867448373323,263.67935245986683,,3696920.6973272576,1669.0323362421695,586287.6997560691,3.450733954818589,-1,,,,,,,,unassigned,,,,,,,,,,,,
4282,3833,263.5387806975511,263.5394584059079,,3567805.8649905147,1677.6015640656492,586598.4498457251,3.3302171862719394,-1,,,,,,,,unassigned,,,,,,,,,,,,
4283,3834,263.1776185410685,263.17829555729696,,9278071.784176927,4667.01795420631,469922.9599269016,8.660222915803997,-1,,,,,,,,unassigned,,,,,,,,,,,,
4284,3838,263.10996313615533,263.11064002259934,,3747671.0862843753,1823.5822018142399,470043.7599192735,3.498104754663224,-1,,,,,,,,unassigned,,,,,,,,,,,,
